technical_score,communication_score,confidence_score,aptitude_score,projects_count,internships_count,certifications_count,coding_platform_score,mock_interview_score,resume_score,linkedin_score,follows_count,skill_gap
7.291953659734271,6.104345917764021,5.768776811893259,5.788282073329513,6.4685562702044495,2.6117863053593595,2.468141906777137,7.585859043305023,5.922258145840436,6.613506624828533,6.135217324193862,10.0,none
4.688335495078731,3.6593322010991423,3.9131868302356843,5.404267687616001,6.078989377199962,1.7474340275549216,3.40959601582352,3.5678654791395235,3.860407889120448,4.506005397649368,3.852191966058352,10.0,communication
9.704543486970497,8.055480941400607,8.28773229540758,8.155285135647215,9.05692267486889,2.651243759558898,4.344226847369576,9.414076713294833,7.771454605723602,7.82525526936068,8.025902580826905,10.0,none
1.503483775363362,2.035353498252269,1.3512273047840195,3.7731372154636205,3.1576960241578105,0.8685792437221667,0.7093419132348588,2.3191879384292635,3.171921267833282,3.7729207649042418,1.2943024636149376,5.44511382233347,technical
5.308683264669287,6.442308342897999,5.557997379438156,6.445827965663315,5.582933671121494,1.8630374063199646,1.5142247733472507,5.54592044219161,6.39105493843869,6.568023044972815,5.7585997237907876,10.0,none
2.6521394919533727,3.9468611958911892,3.7339933886311325,3.1975228125980437,3.993648800017999,0.53603059969659,1.7329572903528736,2.3541442298495707,3.5319045429477054,2.110017232871954,4.414719240197432,10.0,technical
0.4120904022106055,1.6719885935080288,0.17153068052268886,0.12790631607621478,1.962431210572927,0.0,0.0,0.0,0.5728861073391401,1.6091015385040084,0.26760618357383903,8.224332626260866,technical
8.672789114487925,7.231749903147042,7.097239076044097,8.325637857202153,7.387915641453248,3.7389598155957215,3.4408807704422077,8.382744361758464,8.778928927043586,6.720790686915655,8.44183916952753,10.0,none
4.754776325960149,3.3765450243054884,6.305782583648644,4.102444604704679,4.476962258449501,2.0232244059622033,1.3913097895966382,3.775437307226027,4.312750118247825,4.2830276844401824,6.299153035370607,10.0,communication
10.0,9.52216425964751,9.73665551817184,9.372458821503335,9.573136967487033,5.036005766594829,5.2314284509120546,10.0,10.0,9.559736864538483,9.423986968526606,10.0,none
2.220143065508756,2.600847920298242,1.6603277993302836,1.8375462648885665,3.0484779581649923,1.633943518373339,0.4271295285986564,1.6878055868152781,1.2829477732968182,0.9832913521926494,2.2109780056470614,10.0,technical
4.801828021342687,5.881693240463712,6.025185626542695,5.016981926286902,4.850477959808112,1.9305437990591159,1.8154248838017444,5.744953486035387,3.4837087088690817,5.888984556761105,6.974069292398668,10.0,none
4.551568076948624,4.086898489205186,3.906904597703286,3.9600247818813377,5.345466926512458,2.1360003468150346,2.848266390561289,4.878555040677019,4.484654941695007,3.3453824629852815,3.520002335382446,10.0,confidence
7.488831938038096,8.224023605746563,7.7444596088713356,7.55958056180122,8.50609871828893,3.661675625304129,3.6400932606278102,6.30828919058246,6.606070518438369,7.524103495501021,7.712421689229666,10.0,none
